guess,mean_plays
reast,3.639635732870772
salet,3.645021645021645
prate,3.6465741543798784
trape,3.6506285218899004
trace,3.651646447140381
slane,3.6517779705117084
leant,3.6546949372565987
resat,3.656399132321041
least,3.656981786643539
slate,3.657860545690775
caret,3.660450997398092
crate,3.660884648742411
carte,3.660884648742411
trade,3.66117136659436
crane,3.6633448873483534
prase,3.6640692640692643
reist,3.6644993498049416
carse,3.665944540727903
parse,3.6668112798264643
trice,3.668110918544194
stale,3.6683982683982683
react,3.6685466377440346
carle,3.669410745233969
setal,3.671292281006071
artel,3.6721595836947096
earst,3.6724511930585684
cater,3.6726009552757275
snare,3.6728931364031276
teals,3.673160173160173
alter,3.6741865509761387
trine,3.674750974447813
peart,3.6753472222222223
tales,3.676190476190476
stare,3.676496097137901
alert,3.677951388888889
torse,3.6783549783549785
stane,3.6802603036876356
slart,3.680675909878683
taser,3.6808142052836725
learn,3.681699913269731
earnt,3.681857638888889
alien,3.6828633405639914
orate,3.683297180043384
ratel,3.683297180043384
tries,3.6834127327847552
roate,3.6844155844155844
rates,3.6847354726799653
seral,3.6847590099869736
rance,3.685008665511265
roast,3.686011260285838
scare,3.686470078057242
later,3.6866059817945382
toile,3.686715707485937
strae,3.686903729401561
trone,3.6871750433275565
tares,3.6871750433275565
tears,3.6883398352839185
antre,3.6888020833333335
arets,3.6888020833333335
saner,3.6896402254009537
taler,3.690507152145644
stear,3.691106290672451
teras,3.691240242844753
reals,3.691673894189072
aline,3.694275802254987
liane,3.695275249241439
raise,3.695482189400521
litre,3.6971403812824954
sorel,3.6973113616652213
raine,3.697351280937907
irate,3.6979166666666665
roset,3.6985708098744046
heart,3.6989154013015186
toise,3.700173310225303
rales,3.702819956616052
ariel,3.7029488291413704
store,3.7033347769597227
stire,3.703511053315995
parle,3.703639514731369
arose,3.704861111111111
saine,3.7054735013032145
lares,3.705907906168549
arise,3.7073382544507165
paire,3.708459869848156
urate,3.709453599306158
alone,3.7097053726169844
aisle,3.709887250650477
raile,3.709887250650477
ronte,3.709887250650477
soare,3.709887250650477
saute,3.7104464672735156
slier,3.710629067245119
saice,3.7115551694178976
share,3.7120555073720727
oater,3.715091066782307
coate,3.715214564369311
aesir,3.7168910117238383
laser,3.717381881231036
arles,3.719549198092761
realo,3.728218465539662
